ISO 639-3 code	bible.is / wilderness code	language name	reading MCD1	genus	family	macroarea	# utterances	# phoneme tokens	Unitran	Wikipron	Epitran	OSF?	Drive?	Notes?
abi	ABIWBT	Abidji	6.27	Kwa	Niger-Congo	Africa	8955	563884	✓				u	unitran lab zip missing on OSF
ace	AC1IBS	Aceh	6.51	Malayo-Sumbawan	Austronesian	Eurasia	10944	911575	✓				u	unitran lab zip missing on OSF
acr	ACCIBS	Achi de Cubulco	6.15	Mayan	Mayan	North America	13411	753947	✓				u	unitran lab zip missing on OSF
acd	ACDWBT	Gikyode	7.73	Kwa	Niger-Congo	Africa	11976	869060	✓				u	unitran lab zip missing on OSF
ach	ACHBSU	Acholi	6.8	Nilotic	Eastern Sudanic	Africa	7045	482095	✓				u	unitran lab zip missing on OSF
acm	ACMAS3	العربية	8.29	Semitic	Afro-Asiatic	Eurasia	1168	101251	✓				u	unitran lab zip missing on OSF
acn	ACNBSM	Ngochang	6.14	Burmese-Lolo	Sino-Tibetan	Eurasia	10526	908893	✓				u	unitran lab zip missing on OSF
quc	ACRWB1	Achí	6.56	Mayan	Mayan	North America	13626	918131	✓				u	unitran lab zip missing on OSF
quc	ACRWBT	Achí	7.62	Mayan	Mayan	North America	10205	731137	✓				u	unitran lab zip missing on OSF
acu	ACUTBL	Achuar-Shiwiar	6.24	Jivaroan	Jivaroan	South America	18007	1067879	✓			u	u	
ade	ADETBL	Adele	6.88	Kwa	Niger-Congo	Africa	9037	699037	✓			u	u	
adh	ADHBSU	Dhopadhola	6.52	Nilotic	Eastern Sudanic	Africa	9672	638351	✓			u	u	
adj	ADJWBT	Adioukrou	7.42	Kwa	Niger-Congo	Africa	3631	212840	✓			u	u	
aeu	AEUWBT	Austronesia	6.94	Burmese-Lolo	Sino-Tibetan	Eurasia	9010	886160	✓			u	u	
agn	AGNWPS	Agutaynen	6.08	Malayo-Polynesian	Austronesian	Papunesia	12266	961836	✓			u	u	
agr	AGRTBL	Awajun	6.43	Jivaroan	Jivaroan	South America	12183	965171	✓			u	u	
agu	AGUNVS	Aguacateco	5.81	Mayan	Mayan	North America	15693	982258	✓			u	u	
ahk	AHKTBS	Akha	6.98	Burmese-Lolo	Sino-Tibetan	Eurasia	9328	848800	✓			u	u	
aia	AIAWYI	Arosi	5.59	Oceanic	Austronesian	Papunesia	11812	862827	✓			u	u	
aka	AK1BSG	Akan: Akuapem	7.81	Kwa	Niger-Congo	Africa	7110	416237	✓			u	u	unitran lexicon missing on cluster
ake	AKEBSS	Akawaio	8.34	Cariban	Cariban	South America	9609	752495	✓			u	u	
akp	AKPWBT	Siwu	6.33	Kwa	Niger-Congo	Africa	9112	654153	✓			u	u	
alj	ALJOMF	Alangan	5.93	Malayo-Polynesian	Austronesian	Papunesia	11864	857074	✓			u	u	
alp	ALPWBT	Alune	6.3	Malayo-Polynesian	Austronesian	Papunesia	9392	685510	✓			u	u	
alb	ALSBSA	Shqip	6.98	Albanian	Indo-European	Eurasia	4302	293481	✓			u	u	
alt	ALTIBT	Altai, Southern	7.16	Turkic	Turkic	Eurasia	4225	318543	✓			u	u	
alz	ALZBSU	Alur	7.31	Nilotic	Eastern Sudanic	Africa	10113	606826	✓			u	u	
amf	AMFSIM	Banna	6.49	South Omotic	Afro-Asiatic	Africa	8749	591566	✓			u	u	
amk	AMKWBT	Ambai	5.42	South Halmahera - West New Guinea	Austronesian	Papunesia	11216	1038432	✓			u	u	
ann	ANNWBT	Obolo	8.47	Cross River	Niger-Congo	Africa	3022	248226	✓			u	u	
anv	ANVWBT	Denya	6.66	Benue-Congo	Niger-Congo	Africa	5790	477012	✓			u	u	
apd	APDAS2	العربية	8.03	Semitic	Afro-Asiatic	Africa	2104	183492	✓			u	u	
apr	APRWBT	Arop-Lokep	6.21	Oceanic	Austronesian	Papunesia	12703	1223426	✓			u	u	
arb	ARBIBS	العربية	7.91	Semitic	Afro-Asiatic	Eurasia	1892	179217	✓			u	u	
arz	ARZVDV	العربية	7.36	Semitic	Afro-Asiatic	Africa	6135	511890	✓			u	u	
atg	ATGWYI	Okpela	7.66	Ede	Niger-Congo	Africa	6920	508460	✓			u	u	
