(Intercept)	loss
AZEBSA	6.06555678913947	0.0369660411128145
BNGBBS	6.10663541004208	0.0154424765429582
BNGCLV	6.16382439796286	0.0238848146580271
BNGWTC	6.05347398753959	0.0282549344700412
CEBRPV	6.05559178986662	0.0175952967981038
HAEBSE	6.68816807319602	0.0261066868507261
HAUCLV	6.05788405853039	0.0405096126177211
HNDSKV	6.03310320984009	0.0311486897992482
ILORPV	6.18066705986262	0.0209593474165376
INZNTV	6.14403750798129	0.0248844599690126
INZSHL	6.27603894371956	0.0218670309972749
INZTSI	6.16715045101419	0.0291309594354624
JAVNRF	6.22685524143102	0.0202994477078026
KAZKAZ	6.0735046955148	0.0251033592705011
KMRUBS	6.33295743430699	0.0347272817006451
LAOUBS	6.30743092221445	0.0445327697987117
MARWTC	5.93342449953244	0.0395311088271074
POLNCV	6.07302471767871	0.0319221157323844
RONBSR	6.27061614096804	0.0269208828090352
RUSS76	6.47831814474909	0.035357015659193
SOMSIM	5.66924452386015	0.0291908150425155
SPNBDA	6.28146932112144	0.00965990019369022
SPNDHH	6.00186823527353	0.0363443456543957
SPNNVI	5.93140349849021	0.0310310327485873
SPNR95	5.78397872476052	0.0334635312822968
SPNWTC	6.09325024279933	0.0215640655337014
SWESFB	6.02245867668499	0.0684072916422824
SWESFV	6.11626534003074	0.0782889256809505
TCVWTC	6.02150107727554	0.0520697433011703
TCWWTC	5.8297525418824	0.0435400685635
TGKIBT	6.25759984434456	0.0375517263521522
TGLPBS	6.09660813232282	0.0200918881326175
THATSV	5.9414266597518	0.0562184959405645
TIRUBS	5.48366233291716	0.00605421553571655
TPIPNG	5.99035464921352	0.0698813860554805
TRKBST	5.77401347051503	0.0317723622868321
TRKWTC	5.87380243112111	0.0216892848947292
VIEVOV	6.13190766155333	0.0606703328750467
ZLMAVB	6.05515262334884	0.030332246621041
